recno,HII,Vmag,B-V,xpos,ypos,Dist,Mult,Rem,Mass,MassA
187,3335,7.19,0.04,155.76,-0.52,155.76,1,,2.04,
189,3405,10.87,0.7,-176.6,48.01,183.01,1,,0.98,
190,3406,9.57,0.51,-175.98,15.74,176.68,1,,1.16,
191,3407,10.48,0.66,-164.55,120.88,204.18,1,,1.01,
192,3408,10.76,0.68,-207.97,132.16,246.41,1,,0.99,
193,3409,12.45,1.04,-136.78,-157.94,208.94,1,,0.75,
194,3411,11.56,0.86,-103.11,-12.52,103.87,1,,0.86,
195,3412,10.89,0.73,-87.94,-25.51,91.56,1,,0.95,
196,3415,10.09,0.58,-119.5,-96.07,153.33,1,,1.09,
197,3417,9.93,0.54,-100.61,-48.87,111.85,1,,1.13,
198,3418,10.39,0.62,-106.07,21.55,108.24,1,,1.05,
199,3419,11.77,0.89,-88.53,22.42,91.32,1,,0.84,
200,3420,10.54,0.65,-109.85,28.0,113.37,1,,1.02,
201,3422,12.12,0.94,-91.78,92.21,130.1,1,,0.8,
202,3423,10.09,0.59,-72.85,90.69,116.32,1,,1.08,
204,3429,10.38,0.64,-63.59,-101.49,119.76,1,,1.03,
205,3430,12.05,0.94,-55.29,-72.72,91.35,1,,0.8,
207,3433,11.2,0.81,-38.87,-107.45,114.26,1,,0.89,
208,3434,10.78,0.73,-31.9,-98.97,103.98,1,,0.95,
209,3435,9.85,0.55,-64.05,-158.48,170.93,1,,1.12,
210,3437,10.41,0.67,-48.19,-117.31,126.82,1,,1.0,
212,3439,11.19,0.87,-25.98,-127.12,129.75,1,,0.85,
213,3440,9.94,0.57,-25.34,-144.65,146.85,1,,1.1,
214,3441,12.15,0.94,-30.47,82.98,88.4,1,,0.8,
215,3443,12.24,0.96,-42.81,96.95,105.98,1,,0.79,
216,3444,11.67,0.9,-30.61,105.8,110.14,1,,0.83,
217,3445,11.49,0.82,-24.9,130.81,133.16,1,,0.88,
218,3446,11.06,0.74,-36.77,133.16,138.15,1,,0.94,
219,3447,12.02,0.9,-23.5,148.63,150.48,1,,0.83,
220,3450,11.54,0.84,-9.36,-194.3,194.53,1,,0.87,
221,3456,11.43,0.81,-47.9,76.57,90.32,1,,0.89,
223,3468,11.57,0.85,65.82,-146.64,160.73,1,,0.86,
225,3471,11.49,0.82,87.9,-2.5,87.94,1,,0.88,
226,3475,11.9,0.91,87.78,145.35,169.79,1,,0.82,
227,3478,10.97,0.74,104.66,-163.0,193.71,1,,0.94,
228,3479,11.03,0.77,119.88,-181.57,217.57,1,,0.92,
229,3483,11.09,0.73,92.45,111.64,144.95,1,,0.95,
230,3489,11.63,0.88,127.87,-112.67,170.43,1,,0.84,
231,3514,12.69,1.07,123.1,-31.94,127.18,1,,0.73,
232,3521,10.29,0.66,-265.12,-14.2,265.5,1,,1.01,
233,3523,11.98,0.96,-190.05,-64.28,200.63,1,,0.79,
234,3524,9.85,0.54,-158.67,-75.97,175.92,1,,1.13,
235,3526,10.65,0.62,-155.07,88.89,178.74,1,,1.05,
236,3528,10.27,0.65,-95.03,156.87,183.41,1,,1.02,
238,3540,9.47,0.49,-27.83,-125.01,128.07,1,,1.19,
239,3542,11.62,0.85,3.62,75.41,75.5,1,,0.86,
240,3543,11.72,0.89,13.2,151.01,151.59,1,,0.84,
241,3546,10.51,0.66,71.36,-271.4,280.62,1,,1.01,
242,3551,11.15,0.71,50.35,115.82,126.29,1,,0.97,
243,3553,10.44,0.63,78.47,135.51,156.59,1,,1.04,
244,3573,9.6,0.45,192.76,-52.59,199.81,1,,1.23,
246,11317,9.75,0.54,102.06,-2.02,102.08,1,,1.13,
247,12038,10.84,0.7,-84.67,-41.75,94.41,1,,0.98,
248,12055,11.2,0.78,-75.78,-24.33,79.59,1,,0.91,
249,12078,12.66,1.07,-61.39,55.86,83.0,1,,0.73,
251,12199,12.19,0.97,-30.47,82.88,88.3,1,,0.79,
252,12205,12.45,1.08,-28.3,121.41,124.66,1,,0.73,
254,12590,9.11,0.44,55.71,88.74,104.78,1,,1.25,
255,20293,10.96,0.69,-148.89,-132.27,199.16,1,,0.99,
256,20359,10.59,0.61,-128.63,8.08,128.88,1,,1.06,
257,30059,11.75,0.84,-248.01,93.6,265.08,1,,0.87,
258,30079,9.43,0.47,-237.96,95.87,256.55,1,,1.21,
259,30153,8.1,0.26,-213.51,71.23,225.08,1,,1.52,
260,30391,11.29,0.77,-287.31,14.21,287.66,1,,0.92,
262,30679,12.2,1.0,-89.22,117.71,147.7,1,,0.77,
263,30700,11.14,0.71,-86.02,122.48,149.67,1,,0.97,
264,30909,8.58,0.29,-23.22,166.47,168.08,1,,1.47,
265,40131,11.33,0.81,45.0,181.82,187.31,1,,0.89,
266,40314,12.49,1.02,97.98,13.43,98.89,1,,0.76,
268,50151,9.17,0.44,112.1,-193.81,223.89,1,,1.25,
270,50308,11.46,0.82,159.43,-170.41,233.36,1,,0.88,
