Name,ra,dec,GLAT,GLON
NGC 4147,182.5258333333333,18.541944444444443,77.18871671632782,252.84925247474362
NGC 6325,259.4969583333333,-23.766027777777776,8.003383185278144,0.9731593741427992
NGC 6402,264.400625,-3.245916666666666,14.80443488140134,21.323852149020375
TER 9,270.41166666666663,-26.839722222222218,-1.9887815291970665,3.603129945385544
NGC 6864,301.5197916666666,-21.921166666666664,-25.747244768658028,20.304066611261156
PAL 12,326.66166666666663,-21.25083333333333,-47.6809868340599,30.512574114372068
AM 1,58.76124999999999,-49.61444444444444,-48.46990989563332,258.35968322049354
NGC 3202,155.13291666666666,43.02133333333333,55.66412146085213,175.41019871931482
NGC 5897,229.35166666666663,-21.010111111111108,30.294316084157384,342.94602203137896
NGC 6139,246.9184583333333,-38.84877777777777,6.938764854826808,342.36591893107214
NGC 6205,250.42266666666663,36.460249999999995,40.91229205227804,59.00796691487768
NGC 6304,258.6354583333333,-29.462277777777775,5.374637867248875,355.82594544498744
NGC 6535,270.9612083333333,-0.2969166666666666,10.435444534226022,27.176519825642753
NGC 6656,279.100875,-23.903388888888887,-7.551956986932681,9.893944878231078
PAL 13,346.6853333333333,12.771999999999998,-42.69992960640631,87.10378742643555
NGC 5986,236.5143333333333,-37.786138888888885,13.267681129784007,337.0234976823314
NGC 6723,284.88808333333327,-36.631472222222214,-17.298608153395893,0.07002222712140288
NGC 6316,259.15591666666666,-28.139999999999997,5.764195542922865,357.1756930243318
NGC 6712,283.268,-8.70597222222222,-4.31799523778952,25.354098323781216
NGC 5139,201.69120833333332,-47.476861111111106,14.97146984530454,309.09838259740394
NGC 5634,217.40533333333332,-5.976416666666666,49.26030313735258,342.20970734172954
PAL 14,242.77041666666665,14.958055555555553,42.1757245186797,28.755114840422102
NGC 6426,266.2279583333333,3.1701388888888884,16.23365107430139,28.08694209573502
NGC 6558,272.5765833333333,-31.763499999999997,-6.024875215392089,0.2009539617974461
NGC 6569,273.412,-31.82644444444444,-6.680948189230068,0.4814307292859983
NGC 6624,275.91954166666665,-30.360777777777773,-7.913922019271556,2.7888369475850565
NGC 1851,78.52629166666665,-40.04727777777777,-35.03750158478817,244.5138549886118
AM 4,208.95874999999998,-27.172777777777775,33.53702999130392,320.1474809460135
PAL 15,255.00999999999996,-0.5419444444444443,24.29449118405173,18.872078032579907
NGC 6779,289.1479166666666,30.184499999999996,8.337069112019103,62.66021541617783
NGC 6229,251.74524999999997,47.52780555555555,40.30631399319688,73.63865058040368
NGC 6218,251.81049999999996,-1.9478055555555553,26.31245426614717,15.716710254422749
PAL 1,53.33041666666666,79.58194444444443,19.028425049300395,130.0637897496822
NGC 6934,308.547875,7.4041388888888875,-18.893544982708622,52.103228408574154
NGC 4833,194.89574999999996,-70.87461111111111,-8.013516167718963,303.60552695878937
NGC 6626,276.1370416666666,-24.86983333333333,-5.580675155259013,7.79819781494896
NGC 6637,277.8467916666666,-32.34797222222222,-10.26974029818549,1.7231836535750618
NGC 6093,244.2604583333333,-22.975111111111108,19.46340011476691,352.6742605584184
NGC 6528,271.2067083333333,-30.055777777777774,-4.174089777216813,1.1385502531243428
NGC 6539,271.20725,-7.58586111111111,6.775723220615811,20.79510358060279
NGC 6517,270.46074999999996,-8.958777777777776,6.762490383425238,19.225177694828947
NGC 6638,277.73437499999994,-25.496416666666665,-7.153020159706542,7.897707564090977
NGC 5824,225.99374999999998,-33.06775,22.071048740296273,332.5548388676978
NGC 6715,283.7636666666666,-30.478499999999997,-14.086442138080988,5.60823589115009
NGC 6171,248.1329583333333,-13.053638888888887,23.01048609465966,3.3735506955273964
NGC 6496,269.7582083333333,-44.265138888888885,-10.008867373917816,348.02517246864613
NGC 6760,287.80024999999995,1.030472222222222,-3.924281763411328,36.107800802550834
NGC 5286,206.61074999999997,-51.37347222222222,10.568686272135535,311.61375829439595
NGC 6342,260.29224999999997,-19.587416666666662,9.724864092837752,4.898766972502482
NGC 6441,267.5535,-37.05108333333333,-5.00498300389949,353.5321662856478
NGC 6287,256.28891666666664,-22.708,11.023252443522892,0.1316358691174401
NGC 6584,274.65687499999996,-52.21516666666666,-16.413807327343807,342.14411986983254
NGC 1904,81.044125,-24.52425,-29.35152041815433,227.22914020598543
TON 2,309.99999999999994,-27.28333333333333,-34.73924401300031,17.17916690720049
NGC 1261,48.063958333333325,-55.216805555555545,-52.125742059684065,270.54132989994525
NGC 6453,267.7157083333333,-34.598638888888885,-3.872383498465984,355.7179774547927
NGC 5694,219.90216666666663,-26.53833333333333,30.359991173916555,331.056709522548
NGC 6541,272.00916666666666,-43.70547222222222,-11.1834847770109,349.294389782146
NGC 6981,313.3662916666666,-12.537055555555554,-32.68380421247441,35.16301162845143
NGC 6101,246.45254166666663,-72.20155555555554,-15.824869601481456,317.7470212418858
NGC 6266,255.30249999999998,-30.112361111111106,7.319561788049704,353.5745759467708
HP 1,262.77166666666665,-29.981666666666662,2.11503321639985,357.42521214924915
TER 5,267.0208333333333,-24.779999999999998,1.6858428191691486,3.8389537737338864
NGC 5024,198.23041666666663,18.169166666666666,79.76498341959946,332.96659742296237
NGC 6333,259.7990833333333,-18.516249999999996,10.70514078461286,5.544419263613018
NGC 104,6.021624999999999,-72.08052777777777,-44.88998618394442,305.8958227535361
NGC 6355,260.994375,-26.353416666666664,5.427757920681374,359.5850427790532
ERI,66.18541666666665,-21.186944444444443,-41.332244088409006,218.10616773533795
NGC 6553,272.3153333333333,-25.907749999999997,-3.0229617394155,5.250234448014888
NGC 2808,138.01070833333333,-64.86283333333333,-11.25284266208568,282.19187334437737
NGC 6256,254.88616666666664,-37.12141666666666,3.3063513221053458,347.79169279919574
NGC 6366,261.9347083333333,-5.076638888888888,16.036876490285344,18.41164192417056
NGC 6388,264.07104166666664,-44.73494444444444,-6.736983054038853,345.5566519445498
NGC 6652,278.94062499999995,-32.99030555555555,-11.377017329765483,1.534464515346689
TER 6,267.69333333333327,-31.275277777777774,-2.161807262678519,358.57142795661593
NGC 6642,277.9759583333333,-23.476138888888887,-6.439573710153686,9.814039123690856
PAL 10,289.50874999999996,18.571666666666665,2.7248702049764666,52.43635447208144
NGC 6235,253.35566666666662,-22.17744444444444,13.51816576577307,358.9177974897909
