sdss_name,ra,dec,l,b,M_i,z,fwhm_CIV,fwhm_CIII,fwhm_MGII
234733.73-010641.3,356.8905827,-1.111489548,89.77560025,-59.80613278,-24.89898478,1.811861634,3441.746536,2538.511399,4032.090765
022419.86-033255.0,36.08276843,-3.548633282,170.2333684,-57.62184696,-27.06130691,3.149433136,-1,6057.150686,-1
235301.34+003415.5,358.2556096,0.570991032,93.67664505,-58.94223291,-24.97138642,1.435702562,-1,6811.477356,4040.258005
111817.87+020635.0,169.5744702,2.109725006,257.2538973,56.48388539,-25.18722989,2.612914324,3184.225174,5791.143933,-1
022648.11+000724.5,36.70047765,0.123498484,166.9023859,-54.39610979,-24.84051647,2.657328129,-1,2195.490395,-1
083841.55+390217.1,129.6731622,39.03810828,182.8974515,36.80007215,-27.59585879,4.339621067,4044.303589,-1,-1
114229.85-002740.3,175.6244155,-0.461202304,269.1364975,57.8144137,-23.92832495,0.901994586,-1,-1,-1
013136.44+130331.0,22.90185382,13.05863361,137.8303581,-48.64765996,-27.94536629,1.594116092,4632.07109,-1,3803.286825
012510.46+001425.6,21.29358492,0.240455634,140.8067703,-61.4549457,-24.41945266,2.430614233,2339.728621,6005.885223,-1
125750.68-023122.1,194.4612078,-2.522806996,306.1637702,60.30873035,-23.44983586,0.665176451,-1,-1,-1
154243.79+140856.8,235.6824796,14.14911677,23.73270089,48.11003059,-26.7812465,2.347934961,-1,6304.057568,4982.301962
212442.97-010105.7,321.1790601,-1.018259909,51.72049972,-34.04547941,-23.12322838,0.880846441,-1,-1,-1
074843.61+262901.1,117.1817321,26.48366606,194.0912055,23.60321128,-25.98132167,2.293862581,5678.793571,6871.590912,4885.825963
124309.52+363149.3,190.7896838,36.53036983,132.9910297,80.43562783,-27.71814525,2.490948915,3023.489529,3004.725211,-1
075148.40+195315.3,117.9516867,19.88759265,201.0454042,21.90222865,-22.66907391,0.71442759,-1,-1,-1
130708.84+410930.3,196.7868376,41.15843637,110.9624,75.60264057,-24.43546498,2.070783377,3759.336046,4437.096192,4594.688369
150625.36+282111.8,226.6056824,28.35328048,43.24885967,60.20440018,-22.8337795,0.557451308,-1,-1,-1
023906.81+025213.7,39.77841312,2.870488345,168.0287202,-50.32923318,-24.86830067,1.963597655,4980.435038,13519.49884,8587.901374
003913.19+025040.8,9.80499767,2.844689797,116.843495,-59.8825454,-26.77937058,3.566897869,4175.35801,6184.861063,-1
082151.88+281114.9,125.4661705,28.18747613,194.8353782,31.12650831,-26.93987009,3.369915485,8434.175724,7035.77276,-1
152021.14+171503.7,230.0880968,17.25103633,24.77652618,54.28994769,-26.40400064,3.412097692,5421.375423,6628.685797,-1
082501.40+351539.9,126.255844,35.26110546,186.904573,33.49105347,-25.91068239,2.368280172,5055.501363,5566.73097,-1
125302.48-003908.2,193.2603742,-0.65230427,303.7919514,62.2167655,-24.85572793,2.492429495,3576.68125,4383.714862,-1
135904.74+040439.3,209.7697732,4.077609801,340.893118,61.85718474,-26.49201499,3.151864529,3829.418943,4941.803361,-1
231611.52+033548.1,349.0480052,3.59671426,82.4562558,-51.63032697,-25.37201544,0.153424948,-1,-1,2853.851625
144524.16+354556.5,221.3506832,35.7657059,59.66953131,64.31615415,-24.18929793,2.35712409,2388.443818,3646.674109,6383.640683
161542.83+160519.6,243.9284607,16.0887843,30.73516888,41.58386875,-25.81422647,2.19944334,4141.184185,7870.266265,6713.089894
135111.66+064906.3,207.7986017,6.818438079,340.5811266,65.22506593,-24.68148193,2.547111988,2949.965052,10221.25301,-1
224415.52-032818.4,341.0646696,-3.471791086,65.26966492,-51.50492365,-25.46921307,2.372283459,4997.205225,6088.55936,3193.758242
024817.69+024128.4,42.07372618,2.691231279,170.9091768,-48.98304709,-24.70142923,0.803907156,-1,-1,-1
012558.89+002707.6,21.49537926,0.452124227,141.0896383,-61.19590744,-26.02728555,2.385886669,5323.554044,5977.382154,3620.172857
001936.68+011656.9,4.902852261,1.282482549,106.5713017,-60.57433189,-25.61673136,2.325908899,3557.462709,2600.755922,3751.706658
132742.73+051231.6,201.9280479,5.208796734,326.0529424,66.4384237,-26.2077617,3.335638046,5441.303058,5164.416175,-1
232308.74-004758.3,350.7864367,-0.799527971,80.43483003,-56.20565333,-25.34960137,2.896854639,4569.945539,6352.150575,-1
162842.14+263816.4,247.1755964,26.63790111,45.45594572,41.94979295,-26.36609628,2.310048342,-1,4806.244931,2743.567271
105245.47+391547.3,163.1894858,39.26316179,179.1386809,62.53737742,-29.00894264,3.946386337,3048.277905,2307.371728,-1
165710.07+252312.7,254.2919851,25.38687197,46.02714523,35.44930093,-27.34919214,2.240696192,4479.659783,7138.667489,4497.487229
163136.74+104512.2,247.90311,10.75339786,26.51112714,35.87683588,-27.58671827,2.949628592,4420.707284,4454.47551,-1
213755.10+011348.6,324.4795978,1.230171642,56.2331202,-35.53459188,-22.01107618,0.77306819,-1,-1,-1
170921.73+290549.0,257.3405532,29.09694491,51.25494754,33.83251984,-25.43442076,2.896394253,3186.730222,5646.288752,-1
155704.40+311001.4,239.2683448,31.16705967,50.10961031,49.55839958,-25.6671909,2.072000265,4632.276739,6314.832123,2929.375541
142933.39+054502.9,217.3891265,5.7508127,354.860168,58.3510754,-25.48317365,2.808824062,3458.803019,6547.487534,-1
135436.11+375027.7,208.650469,37.84104376,75.7996,72.94951913,-27.67946085,3.809216976,5283.854045,9328.30365,-1
171926.72+311712.2,259.8613746,31.28673181,54.43646229,32.27309709,-24.68714833,2.210699558,5298.653293,6507.728603,5387.109537
110009.29+064836.2,165.0387399,6.810068374,245.4030397,56.68177997,-24.96855714,1.16817522,-1,6231.593375,2837.535641
074044.00+382032.0,115.1833523,38.3422347,181.09495,25.58563992,-24.22693474,1.313674688,-1,5848.830161,-1
151713.37+065508.0,229.3057328,6.918892821,9.391910359,49.96355674,-26.01329901,2.381834745,2915.491573,3945.219723,2220.042252
080657.39+471515.8,121.7391352,47.25440175,172.1789436,32.02777035,-26.41533432,2.176672697,5057.069736,-1,2797.426771
090335.91+044143.2,135.8996433,4.695352385,224.7574211,31.39550516,-22.20823991,0.788811862,-1,-1,-1
081621.11+493808.3,124.087995,49.63564166,169.5169899,33.789255,-26.95068696,3.195465326,3379.999138,8638.997162,-1
144244.25+064851.3,220.6843888,6.814261173,0.471518788,56.68138993,-24.6065404,2.288893461,2362.844377,8331.770092,-1
123928.35-004356.8,189.8681389,-0.732461945,296.5523353,61.99098285,-26.08285529,2.975667,8171.022682,6419.680142,-1
