ra,dec,longitud,latitud,u,g,r,i
145.53887627,0.74943711,234.9616827,37.53399131,22.697811,22.49684,21.358377,20.571066
145.539437,0.65544603,235.05980727,37.48130681,26.570314,23.255852,21.586744,20.895283
145.54268868,0.63588434,235.0824478,37.47291668,27.014828,23.600475,22.092182,20.932096
145.54414923,0.65069881,235.06809997,37.48250518,21.602577,21.985146,21.098799,20.461004
145.54624747,0.71817248,234.99945802,37.52240204,23.797132,22.45487,22.330521,22.34506
145.54846389,0.69777642,235.0222477,37.51269684,21.552244,22.441597,21.785027,21.513477
145.54922361,0.66317347,235.05875683,37.49374847,22.019592,21.39459,20.60277,20.773918
145.5493171,0.72441849,234.99515001,37.5284651,23.997612,22.553421,21.710907,20.957186
145.54954276,0.70376929,235.01678563,37.51697597,24.595648,22.740339,21.463234,21.795057
145.40481355,0.76336659,234.8518258,37.43120985,26.26458,23.437178,21.505787,20.492765
145.40655238,0.67950423,234.94021045,37.38530754,22.200581,22.403658,21.659872,21.357157
145.40903724,0.69057471,234.93047873,37.39361067,23.61639,22.421322,21.006397,20.509197
145.41550991,0.6462642,234.98109285,37.37391598,23.050663,23.405937,21.840855,21.12326
145.41670299,0.66922103,234.95810637,37.38787296,27.22039,22.310265,22.667053,21.44776
145.418098,0.77868929,234.84532711,37.45082111,23.696779,23.663473,23.140944,21.901011
145.42075365,0.813984,234.81049101,37.4729154,21.882687,22.667969,22.915949,22.791958
145.42555831,0.82537848,234.80204343,37.4833062,23.853991,22.61142,22.730019,21.384163
145.42819561,0.66960458,234.9658806,37.3975717,20.371254,21.739775,20.602238,19.604641
145.43358031,0.80337506,234.83064296,37.47752713,23.506405,22.371824,21.554939,20.776356
145.43448561,0.83551212,234.79783423,37.49639136,25.482471,23.671829,22.712252,21.97459
145.43470618,0.82749359,234.80633885,37.49205442,27.050388,22.771723,21.52179,21.413532
145.43577302,0.65196615,234.98958686,37.39385331,23.085388,23.104404,21.81736,20.794413
145.44477388,0.64140603,235.00695539,37.39530669,22.37422,22.818729,21.440079,20.501095
145.44960438,0.79331627,234.85249764,37.48508533,21.77215,22.318148,21.601109,20.415398
145.44963436,0.83204597,234.81220553,37.50694969,27.360502,22.372574,21.879642,22.446623
145.45012326,0.73053137,234.91816937,37.45008004,24.114849,22.983698,21.777411,21.234634
145.45181363,0.755788,234.89310889,37.46573375,23.330681,24.945869,21.340181,20.472485
145.45176627,0.7860589,234.86158555,37.48277598,26.210264,23.052681,22.348377,22.508575
145.45903057,0.73754633,234.91721071,37.46139168,25.078196,22.950481,22.479597,21.030972
145.6032673,0.68384334,235.07583114,37.54999904,21.264252,21.310968,19.571033,18.78899
145.6025506,0.68398725,235.07516919,37.54948993,23.593365,22.624041,20.452816,19.691208
145.61060451,0.67026478,235.09518753,37.54836028,21.964556,21.029394,19.598789,19.103188
145.61436068,0.65494808,235.11379263,37.54278311,22.918022,23.14942,21.701973,21.104027
145.6212695,0.67857325,235.09416496,37.5618551,20.994167,21.055887,19.475752,18.951124
145.66070414,0.63386163,235.16882889,37.56902113,22.039042,20.93655,19.391232,18.642218
