id,longitud,latitud,radio,distancia
#         deg      deg     kpc   kpc
  138, 021.386, -00.254,  3.9,  5.5
  139, 021.427, -00.546,  4.5,  4.7
  140, 021.494, -00.158,  4.9, 11.7
  141, 021.596, -00.161,  3.4,  6.7
  142, 021.597, -00.161,  3.4,  6.7
  143, 021.746, -00.034,  6.7, 13.8
  144, 021.873, -00.043,  7.1, 14.2
  145, 021.873, +00.006,  6.4, 13.5
  146, 021.884, -00.317,  4.3, 10.7
  147, 022.357, +00.064,  4.2,  5.1
  148, 022.724, -00.010,  5.8, 12.7
  149, 022.762, -00.492,  4.5,  4.8
  150, 022.780, -00.401,  4.6, 11.1
  151, 022.879, +00.645,  6.4,  2.4
  152, 022.953, -00.317,  4.6,  4.6
  153, 022.989, -00.359,  4.5,  4.8
  154, 023.042, -00.399,  4.6,  4.6
  155, 023.097, +00.527,  6.4,  2.4
  156, 023.156, -00.321,  4.5,  4.8
  157, 023.196, -00.001,  4.1, 10.2
  158, 023.240, -00.240,  4.5,  4.8
  159, 023.254, -00.240,  4.9,  4.3
  160, 023.264, +00.078,  4.4, 10.7
  161, 023.277, +00.314,  3.7,  6.2
  162, 023.424, -00.215,  3.9,  5.9
  163, 023.439, -00.241,  3.8,  6.0
  164, 023.572, -00.019,  4.1,  5.5
  165, 023.581, -00.400,  4.1,  5.4
  166, 023.585, +00.029,  4.1,  5.5
  167, 023.657, -00.128,  5.7,  3.2
  168, 023.661, -00.252,  4.8, 11.2
  169, 023.690, -00.205,  4.5, 10.7
  170, 023.703, -00.196,  4.5, 10.7
  171, 023.706, +00.166,  3.8,  6.0
  172, 023.708, +00.174,  3.9,  7.8
  173, 023.708, -00.205,  4.5, 10.7
  174, 023.713, +00.176,  3.9,  7.8
  175, 023.787, +00.224,  3.8,  9.4
  176, 023.873, -00.119,  4.6, 10.8
  177, 023.897, +00.064,  5.9,  3.0
  178, 023.907, +00.074,  5.9,  3.0
  179, 023.958, +00.149,  4.5,  4.9
  180, 023.981, -00.110,  4.6, 10.7
  181, 024.094, +00.456,  4.1,  5.6
  182, 024.126, -00.066,  4.3, 10.2
  183, 024.138, +00.123,  3.7,  8.9
  184, 024.139, +00.432,  4.0,  5.8
  185, 024.153, +00.163,  3.8,  7.8
  186, 024.184, +00.120,  3.6,  7.8
  187, 024.185, +00.212,  3.7,  9.1
  188, 024.217, -00.044,  4.4, 10.4
  189, 024.348, +00.089,  3.8,  9.2
  190, 024.357, +00.048,  3.6,  7.7
  191, 024.427, +00.221,  3.7,  7.7
  192, 024.438, +00.251,  3.7,  7.7
  193, 024.457, +00.489,  4.0,  5.8
  194, 024.494, -00.219,  4.0,  5.8
  195, 024.499, -00.039,  3.8,  9.2
  196, 024.507, -00.224,  4.0,  5.8
  197, 024.508, +00.240,  3.7,  8.8
  198, 024.713, -00.125,  3.8,  7.7
  199, 024.724, -00.083,  3.8,  9.1
  200, 024.729, +00.159,  3.8,  6.3
  201, 024.735, +00.087,  3.8,  6.4
  202, 024.789, +00.084,  3.8,  7.7
  203, 024.794, +00.096,  3.8,  7.7
  204, 024.844, +00.094,  3.8,  6.3
  205, 025.287, +00.298,  6.0,  2.9
  206, 025.292, -00.302,  5.0, 11.2
  207, 025.305, +00.532,  3.8,  7.7
  208, 025.383, -00.151,  5.2,  4.0
  209, 025.386, -00.347,  5.1, 11.2
  210, 025.396, -00.138,  4.2,  5.6
  211, 025.398, +00.034, 10.2, 17.3
  212, 025.398, +00.562,  7.3, 14.0
  213, 025.401, +00.022, 10.2, 17.3
  214, 025.460, -00.210,  3.7,  7.7
  215, 025.715, +00.048,  4.1,  9.5
  216, 025.724, +00.059,  4.1,  9.5
  217, 025.797, +00.240,  3.9,  6.6
  218, 025.801, -00.157,  4.2,  5.6
  219, 025.867, +00.119,  3.7,  8.0
  220, 026.319, -00.015,  4.1,  6.0
  221, 026.385, +01.401,  5.9,  3.0
  222, 026.418, +01.683,  5.9,  3.1
  223, 026.443, +01.742,  6.2,  2.6
  224, 026.521, -00.316,  4.1,  9.1
  225, 026.527, -00.266,  4.0,  9.0
  226, 026.542, +00.419,  4.4,  9.9
  227, 026.587, -00.026,  6.9,  1.8
  228, 026.596, +00.095,  4.1,  9.2
  229, 026.598, -00.024,  6.9,  1.8
  230, 026.610, -00.212,  4.0,  8.8
  231, 026.645, +00.019,  3.9,  7.6
  232, 026.796, +03.529,  5.8,  3.2
  233, 026.797, -00.112,  5.0, 10.8
  234, 026.803, +03.527,  5.8,  3.2
  235, 026.817, +00.240,  3.9,  7.6
  236, 026.985, -00.062,  4.7, 10.2
  237, 027.183, -00.083,  6.8, 13.2
  238, 027.186, -00.082,  6.8, 13.2
  239, 027.188, -00.080,  6.8, 13.2
  240, 027.224, +00.134,  4.0,  7.6
  241, 027.269, +00.148,  6.5, 12.8
  242, 027.279, +00.160,  6.3, 12.5
  243, 027.280, +00.144,  6.3, 12.5
  244, 027.281, -00.132,  4.4,  5.5
  245, 027.366, -00.164,  3.9,  7.5
  246, 027.476, +00.179,  6.4, 12.6
  247, 027.562, +00.084,  4.5,  9.8
  248, 027.565, +00.090,  4.5,  9.8
  249, 027.611, +00.020,  4.5,  9.7
  250, 027.682, +00.076,  4.2,  6.0
  251, 027.756, +00.050,  4.3,  5.9
  252, 027.772, +00.047,  4.3,  5.9
  253, 027.786, -00.275,  5.9,  3.2
  254, 027.934, +00.206,  6.0,  3.0
  255, 027.980, +00.080,  4.8, 10.3
  256, 027.997, +00.317,  4.4,  9.4
  257, 028.022, -00.042,  4.3,  9.0
  258, 028.147, +00.147,  4.5,  5.4
  259, 028.200, -00.050,  4.4,  5.8
  260, 028.226, +00.025,  4.8,  7.5
  261, 028.246, +00.013,  4.1,  7.5
  262, 028.287, -00.370,  5.8,  3.3
  263, 028.288, -00.365,  5.8,  3.3
  264, 028.305, -00.390,  4.8,  4.8
  265, 028.438, +00.014,  4.4,  5.8
  266, 028.558, +04.004,  8.1,  0.5
  267, 028.591, -00.352,  4.6,  5.4
  268, 028.597, +00.018,  4.2,  6.2
  269, 028.608, +00.020,  4.2,  6.2
  270, 028.610, +00.016,  4.2,  6.2
  271, 028.638, +00.194,  4.2,  7.5
  272, 028.652, +00.027,  4.3,  8.7
  273, 028.679, +00.044,  4.2,  7.5
  274, 028.688, +00.178,  4.6,  9.6
  275, 028.746, +03.459,  8.5,  0.1
  276, 028.775, +00.286,  4.1,  7.4
  277, 028.781, +00.231,  4.2,  7.4
  278, 028.788, +00.241,  4.2,  7.4
  279, 028.801, +00.170,  4.2,  8.2
  280, 028.823, -00.226,  4.5,  5.5
  281, 028.824, +00.236,  4.4,  8.9
  282, 028.862, +00.065,  4.3,  8.7
  283, 028.883, -00.019,  4.3,  7.4
  284, 028.983, -00.603,  5.7,  3.5
  285, 029.000, +00.085,  5.2, 10.6
  286, 029.020, +00.166,  5.6, 11.2
  287, 029.066, +00.387,  7.1, 13.2
  288, 029.111, -00.023,  5.7, 11.4
  289, 029.166, -00.035,  5.4, 10.9
  290, 029.401, -00.093,  4.3,  7.4
  291, 029.475, -00.178,  4.3,  7.4
  292, 029.580, -00.675,  4.9,  4.8
  293, 029.587, -00.659,  4.9,  4.8
  294, 029.590, -00.614,  5.0,  4.7
  295, 029.598, -00.625,  5.0,  4.7
  296, 029.811, +02.216,  6.0,  3.1
  297, 029.816, +02.226,  6.0,  3.1
  298, 029.832, -00.100,  4.4,  6.1
  299, 029.862, -00.059,  4.4,  6.3
  300, 029.928, -00.056,  4.4,  6.1
  301, 029.956, -00.019,  4.6,  9.1
  302, 030.004, -00.266,  4.4,  7.4
  303, 030.010, -00.273,  4.4,  7.4
  304, 030.014, +00.017,  4.3,  7.4
  305, 030.022, -00.042,  4.5,  8.9
  306, 030.026, +00.109,  4.4,  7.4
  307, 030.031, +00.005,  4.3,  7.4
  308, 030.037, -00.166,  4.4,  8.7
  309, 030.196, -00.171,  4.4,  7.3
  310, 030.219, -00.179,  4.3,  7.3
  311, 030.234, -00.139,  4.3,  7.3
  312, 030.252, +00.053,  5.2,  4.5
  313, 030.297, +00.055,  4.3,  7.3
  314, 030.303, +00.041,  4.3,  7.3
  315, 030.311, -00.214,  4.3,  7.3
  316, 030.321, -00.209,  4.3,  7.3
  317, 030.337, -00.118,  4.3,  7.3
  318, 030.338, -00.251,  4.4,  8.2
  319, 030.365, -00.490,  4.4,  8.2
  320, 030.380, -00.110,  4.4,  6.2
  321, 030.411, -00.228,  4.3,  7.3
  322, 030.425, +00.463,  7.1, 13.0
  323, 030.468, +00.394,  5.6,  3.8
  324, 030.533, +00.021,  5.9, 11.4
  325, 030.545, +00.027,  5.9, 11.4
  326, 030.547, +00.014,  6.0, 11.4
  327, 030.586, -00.097,  4.4,  7.3
  328, 030.589, -00.043,  6.2, 11.7
  329, 030.594, -00.128,  4.8,  5.2
  330, 030.600, -00.343,  4.3,  7.3
  331, 030.653, +00.219,  4.4,  7.3
  332, 030.658, +00.230,  4.4,  7.3
  333, 030.663, -00.127,  4.3,  7.3
  334, 030.689, -00.075,  4.7,  5.5
  335, 030.690, -00.258,  4.5,  8.4
  336, 030.692, -00.048,  4.7,  5.4
  337, 030.696, +00.231,  4.3,  7.3
  338, 030.720, -00.082,  4.6,  5.8
  339, 030.759, -00.046,  4.6,  5.7
  340, 030.760, +00.206,  4.5,  7.3
  341, 030.818, +00.272,  4.5,  6.1
  342, 030.867, +00.113,  6.3,  2.8
  343, 030.870, -00.108,  4.4,  7.3
  344, 030.881, +00.074,  5.1,  4.7
  345, 030.898, +00.147,  4.4,  7.3
  346, 030.906, +00.161,  4.4,  7.3
  347, 030.928, -00.032,  5.3,  4.3
  348, 030.938, -00.024,  5.3,  4.3
  349, 030.955, +00.079,  4.4,  6.6
  350, 030.958, +00.087,  6.3, 11.8
  351, 030.963, +00.084,  6.3, 11.8
  352, 030.969, +00.212,  4.4,  7.3
  353, 030.974, +00.235,  4.4,  7.3
  354, 030.992, +00.239,  4.4,  7.3
  355, 030.992, -00.077,  4.9,  5.1
  356, 030.996, -00.076,  4.9,  5.1
  357, 031.017, -00.039,  4.4,  8.0
  358, 031.049, +00.470,  6.6, 12.2
  359, 031.054, +00.491,  6.9, 12.6
  360, 031.138, +00.286,  4.4,  7.3
  361, 031.159, +00.046,  6.4, 11.9
  362, 031.165, -00.104,  6.2, 11.7
  363, 031.242, -00.109,  7.3, 13.1
  364, 031.244, -00.113,  7.3, 13.1
  365, 031.268, +00.479,  9.2, 15.3
  366, 031.270, +00.064,  4.4,  7.3
  367, 031.279, +00.062,  4.4,  7.3
  368, 031.303, -00.134,  6.2,  2.9
  369, 031.331, -00.158,  6.2, 11.7
  370, 031.394, -00.258,  4.8,  9.1
  371, 031.403, -00.267,  4.8,  9.1
  372, 031.413, +00.309,  4.5,  6.6
  373, 031.470, -00.344,  4.8,  9.0
  374, 031.561, +00.377,  7.1, 12.8
  375, 031.568, +00.079,  4.6,  6.1
  376, 031.568, -00.270,  4.5,  8.2
  377, 031.578, +00.104,  4.5,  6.5
  378, 031.581, +00.075,  4.6,  6.1
  379, 031.661, +00.367,  7.0, 12.7
  380, 031.677, +00.179,  4.5,  7.2
  381, 031.727, +00.698, 13.3, 19.7
  382, 031.881, +01.417,  5.9,  3.4
  383, 031.916, +00.197,  4.5,  7.2
  384, 032.030, +00.049,  4.7,  7.2
  385, 032.058, +00.077,  4.6,  7.2
  386, 032.100, +00.089,  4.7,  8.5
  387, 032.112, +00.096,  4.6,  7.2
  388, 032.117, +00.091,  4.6,  7.2
  389, 032.123, +00.087,  4.6,  7.2
  390, 032.124, +00.094,  4.6,  7.2
  391, 032.152, +00.131,  4.7,  6.1
  392, 032.272, -00.226,  7.2, 12.8
  393, 032.463, +00.193,  6.0, 11.1
  394, 032.473, +00.204,  6.1, 11.2
  395, 032.582, +00.001,  5.1,  9.4
  396, 032.587, -00.330,  4.6,  7.2
  397, 032.710, -00.061,  4.6,  7.2
  398, 032.733, +00.209,  7.6, 13.2
  399, 032.794, +00.206,  7.6, 13.2
  400, 032.800, +00.190,  7.5, 13.1
  401, 032.824, +00.072,  4.6,  7.1
  402, 032.835, +00.017,  4.6,  7.1
  403, 032.870, -00.427,  6.0, 10.9
  404, 032.928, +00.606, 12.9, 19.2
  405, 032.957, +00.125,  5.2,  4.8
  406, 032.983, -00.338,  6.0, 11.0
  407, 032.990, +00.040,  4.8,  8.6
  408, 033.051, -00.078,  4.7,  7.1
  409, 033.080, +00.073,  4.9,  8.7
  410, 033.111, -00.095,  5.2,  4.8
  411, 033.134, -00.093,  4.9,  5.6
  412, 033.205, -00.012,  4.7,  7.1
  413, 033.263, +00.067,  4.7,  7.1
  414, 033.288, -00.018,  4.7,  7.1
  415, 033.403, +00.006,  4.7,  7.1
  416, 033.419, -00.004,  5.2,  9.3
  417, 033.643, -00.228,  4.7,  7.1
  418, 033.650, -00.025,  4.7,  7.1
  419, 033.654, -00.016,  4.7,  7.1
  420, 033.809, -00.190,  6.4, 11.4
  421, 033.810, -00.185,  6.4, 11.4
  422, 033.813, -00.149,  6.0, 10.8
  423, 033.882, +00.057,  6.4, 11.4
  424, 033.915, +00.108,  4.7,  7.1
  425, 033.942, -00.039,  5.8, 10.4
  426, 034.041, +00.053,  6.6, 11.6
  427, 034.046, +00.053,  6.6, 11.6
  428, 034.050, -00.297,  7.9, 13.3
  429, 034.089, +00.438,  6.8, 11.8
  430, 034.133, +00.471,  6.7, 11.7
  431, 034.256, +00.136,  5.9,  3.5
  432, 034.333, +00.213,  5.6, 10.0
  433, 034.404, +00.228,  7.3,  1.6
  434, 034.686, +00.068,  6.0, 10.6
  435, 034.757, +00.022,  5.3,  4.9
  436, 034.757, -00.668,  6.0,  3.4
  437, 034.821, +00.351,  5.8,  3.7
  438, 034.925, -00.082,  6.2, 10.8
  439, 034.940, +00.074,  6.3, 10.9
  440, 034.997, +00.331,  5.8, 10.2
  441, 035.040, -00.500,  6.2, 10.7
  442, 035.051, -00.520,  6.2, 10.7
  443, 035.064, +00.330,  5.9, 10.2
  444, 035.187, +00.893,  5.3,  8.9
  445, 035.197, -00.742,  6.8,  2.2
  446, 035.197, -01.756,  6.1,  3.3
  447, 035.244, -01.750,  6.1,  3.3
  448, 035.467, +00.004,  5.8, 10.0
  449, 035.468, +00.139,  5.2,  5.3
  450, 035.543, +00.007,  5.9, 10.1
  451, 035.555, +00.015,  6.0,  3.6
  452, 035.560, -00.823,  5.8,  9.9
  453, 035.571, +00.072,  6.2, 10.7
  454, 035.577, -00.031,  6.0, 10.4
  455, 035.579, +00.066,  6.2,  3.2
  456, 035.650, -00.052,  6.1, 10.4
  457, 035.746, +00.157,  5.1,  6.9
  458, 035.854, +00.267,  7.0,  2.0
  459, 035.949, -00.148,  6.1,  3.4
  460, 036.193, -00.171,  5.2,  6.9
  461, 036.268, +00.698,  5.3,  5.1
  462, 036.405, +00.022,  6.0,  3.5
  463, 036.459, -00.183,  5.4,  8.9
  464, 036.783, -00.207,  5.3,  6.8
  465, 036.792, -00.194,  5.3,  6.8
  466, 036.870, +00.462, 11.0, 16.5
  467, 036.878, -00.473,  5.8,  4.0
