ra,dec,u,g,r,i,z,redshift,velocidad,distancia_arcmin,tipo
194.807234,28.036188,18.213,17.158,16.824,16.726,16.702,1.0E-5,3.0000000000000004,8.4082,estrella
194.807989,28.076243,16.439,14.893,14.193,13.799,13.643,0.02605,7815.0,9.5854,galaxia
194.812434,28.251018,17.714,16.747,16.434,16.197,16.184,0.0248,7440.0,17.8496,galaxia
194.813044,27.965404,22.311,19.117,17.765,17.308,18.388,,,7.4674,galaxia
194.813531,27.970726,17.062,15.241,14.449,14.044,13.762,0.01608,4824.0,7.4094,galaxia
194.817596,27.986326,20.586,18.654,17.526,17.113,16.903,0.1584,47520.00000000001,7.1783,galaxia
194.823357,28.184585,20.195,18.321,17.232,16.802,16.5,0.1595,47850.0,14.032,galaxia
194.827683,28.028686,18.64,16.169,15.003,14.585,14.361,,,7.2355,estrella
194.831981,27.968121,19.505,18.209,17.515,17.183,17.018,,,6.4516,galaxia
194.832148,27.9735,18.941,17.837,17.122,16.724,16.828,0.02413,7239.0,6.4133,galaxia
194.832832,28.084296,16.774,14.424,13.581,13.208,12.98,0.01528,4584.0,8.8989,galaxia
194.834154,28.074282,24.397,17.05,16.207,16.0,15.932,0.02389,7167.0,8.4374,galaxia
194.834179,28.197924,18.08,16.423,15.659,15.272,15.018,0.03156,9468.0,14.4775,galaxia
194.834301,27.978414,21.272,18.983,17.552,16.758,16.355,,,6.2864,estrella
194.835745,28.099537,19.152,18.105,17.767,17.652,17.607,,,9.4587,estrella
194.839209,27.973564,18.526,17.012,16.289,15.928,15.71,0.02021,6063.0,6.0397,galaxia
194.844844,28.133294,15.297,13.15,12.383,12.115,11.986,,,10.8041,estrella
194.847392,28.182655,18.6,16.19,15.225,14.932,14.789,,,13.3508,estrella
194.854357,27.996729,20.62,17.911,17.185,16.843,16.744,0.01828,5484.0,5.3113,galaxia
194.855309,27.985406,18.744,17.765,17.422,17.303,17.296,,,5.1799,estrella
194.855528,27.967928,18.299,16.366,15.57,15.18,14.973,0.02571,7713.0,5.2159,galaxia
194.856189,27.973202,18.13,16.24,15.45,15.051,14.824,0.02033,6099.0,5.1444,galaxia
194.857572,28.186981,18.921,17.257,16.538,16.19,15.967,0.02576,7728.000000000001,13.3744,galaxia
194.860577,28.006627,18.226,16.974,16.531,16.384,16.335,,,5.1362,estrella
194.860799,27.998469,18.131,16.512,15.753,15.385,15.127,0.02224,6672.0,4.9975,galaxia
194.865946,28.230087,20.092,18.035,17.079,16.758,16.49,0.09924,29772.0,15.6635,galaxia
194.868558,28.085382,20.894,18.033,17.239,17.122,17.208,0.01241,3722.9999999999995,7.7149,galaxia
194.869572,28.085778,24.7,25.114,16.447,24.362,16.794,,,7.7033,galaxia
194.869681,28.040514,19.003,16.44,15.584,15.299,15.144,0.01876,5628.0,5.6906,galaxia
194.87028,28.224161,18.93,17.119,16.464,16.255,16.169,,,15.2567,estrella
194.871434,28.155122,15.838,13.484,12.699,12.434,12.301,,,11.3276,estrella
194.880369,28.217314,24.572,17.728,17.223,16.373,22.82,,,14.7153,galaxia
194.880748,28.217245,14.689,13.347,12.915,12.788,12.706,,,14.7061,estrella
194.881004,28.046599,34.166,14.611,13.792,13.786,20.105,0.02308,6924.0,5.4966,galaxia
194.881667,28.100537,29.5,18.386,17.587,17.389,21.995,0.02478,7434.0,8.1278,galaxia
194.884533,28.208754,21.434,17.414,16.019,15.419,15.181,,,14.1623,estrella
194.886048,28.243168,24.634,17.142,17.458,15.847,22.827,,,16.1492,galaxia
194.886634,27.9836,16.713,14.984,14.214,13.763,13.53,0.01943,5829.0,3.5168,galaxia
194.889309,28.066015,24.634,17.31,15.798,15.589,12.048,,,6.1353,galaxia
194.891669,28.067488,32.385,31.165,13.481,12.053,30.855,,,6.1424,galaxia
194.893527,28.229805,18.936,16.617,16.908,31.749,18.039,,,15.2817,galaxia
194.894324,28.241453,13.694,32.494,14.918,14.479,16.016,,,15.958,galaxia
194.898992,28.237417,17.728,15.731,16.169,17.697,17.592,,,15.6737,galaxia
194.906189,28.166132,18.839,17.219,16.493,16.135,15.939,0.01908,5724.0,11.4061,galaxia
194.909649,27.987194,19.01,15.828,14.9,14.607,14.805,0.02274,6822.0,2.3269,galaxia
194.91736,28.179347,19.607,18.05,17.498,17.087,16.94,,,12.0751,galaxia
194.917791,27.968233,17.972,16.251,15.33,15.009,14.944,0.02527,7581.0,2.0028,galaxia
194.919697,28.144609,19.869,18.299,17.603,17.235,17.054,0.02565,7695.0,9.9991,galaxia
194.91987,28.185168,20.148,17.836,16.875,16.426,16.041,0.09901,29703.0,12.4008,galaxia
194.922452,28.002176,18.235,17.005,16.555,16.379,16.292,,,2.0707,estrella
