ID,ra,dec,votos
587736584965390473,217.002375,37.4009166667,36
588015508213727352,41.307375,-0.746111111111,32
587734949668257807,158.403875,11.7022222222,30
587738948284514416,156.077625,37.0872222222,17
587729653425897913,254.959416667,33.8303611111,24
587739097520537660,168.352541667,36.1726666667,52
587739719762837671,217.250625,25.3658888889,27
587724232645345480,28.0456666667,13.7180555556,22
587726031179022461,189.603125,1.27877777778,22
588015508213727424,41.3625416667,-0.75075,26
587736900109730069,238.973208333,31.4927777778,26
587742014910824628,224.55125,18.5644722222,26
587739721362571380,189.603208333,30.4311666667,25
588023669707374675,181.025166667,20.3237777778,16
588017605235572907,227.458791667,36.6995555556,25
587731891114606738,178.127666667,57.6482222222,52
587739706339426521,223.399833333,23.3706111111,34
588017947755741188,225.602458333,34.2114166667,36
587727179004182597,41.3052916667,-8.34838888889,34
587731173844517227,317.413125,0.245694444444,27
587735349092614377,139.4645,11.1585555556,22
587724240152625253,41.1904583333,-9.02619444444,27
587738948281368708,147.813208333,34.6273055556,19
587741830192169129,160.311875,23.7969722222,24
588010358545580161,171.343041667,4.26816666667,30
587733080815829095,195.788166667,54.6165555556,42
587739719766573172,226.00325,22.7694166667,29
588009367473488025,139.484333333,53.8160555556,48
587725041164091499,176.425666667,-2.03111111111,25
587736941992149024,240.141375,26.0771944444,23
587726033300881609,131.026916667,1.89641666667,29
587737827829874938,136.223166667,62.7065277778,25
587735429080940598,199.172875,48.2731944444,29
587730846352474797,317.534,-0.773,44
587739304759001167,199.177125,34.9299166667,51
588010878757503115,176.41925,4.71269444444,24
588297864172273948,121.380541667,25.8034444444,24
588015509812543622,14.4719583333,0.430416666667,14
587736976351232360,242.836166667,22.2461666667,64
587739828742455466,224.567,22.3711666667,28
588017626709033236,233.304416667,33.71225,33
587728949048574053,152.256708333,0.0503055555556,28
587731885737443498,127.288375,39.0511666667,33
587742551223566591,233.304541667,13.9886111111,30
588017990692241550,210.099041667,8.48305555556,20
588017991222886483,195.691708333,9.69180555556,29
587742577524670523,205.866083333,19.3040833333,30
587737826752725203,127.278583333,56.2321944444,37
588013382743097420,181.012541667,52.1844722222,26
588017702394069003,181.01175,11.4756388889,61
587726031179022513,189.647416667,1.314,21
587728677393924286,182.775,64.3191388889,34
588017626692583489,185.971583333,45.1524444444,15
587741602037629115,199.240958333,26.8483333333,40
587726015627657661,229.982208333,2.04444444444,35
587735237418877059,121.407041667,24.8684166667,19
588023670783148285,185.98175,21.1070555556,21
588010358548529308,178.133,4.37794444444,30
587729386073555102,160.304833333,56.8087222222,24
587739457762361517,221.732458333,26.4811944444,22
588007005806395683,251.362916667,42.0793611111,28
587728669876289791,116.682708333,35.8987222222,21
587727226770096309,14.4855,-9.52525,20
587728310178021559,172.926,3.60919444444,32
588017112373067909,195.702958333,47.9196666667,31
587738618098352270,166.659625,37.0719722222,21
587741708868386862,139.439375,19.9066111111,25
587738570310484045,176.392583333,15.5324166667,33
588297863650869368,159.002291667,43.9331111111,25
587725551755657288,218.886166667,63.5299444444,29
587739132965552277,238.313875,25.3738611111,29
587739809959182559,235.092375,17.9093055556,38
587729777450680560,229.098958333,-1.86313888889,28
587732484906680415,217.234125,46.4158333333,30
588007006317707404,150.443916667,61.8319444444,54
588017720109695138,189.565291667,41.6583888889,36
588023670784655486,189.56375,21.1488888889,34
587742773491597394,195.873333333,16.4245,26
587739407336996991,231.723125,25.8243055556,26
587735743158681952,251.46475,23.3491388889,39
588017726015799490,195.85675,7.88430555556,25
587736477059973408,230.568416667,8.04844444444,34
587739156584529928,160.32075,33.89925,36
588017990158516331,217.3025,7.44502777778,30
588010360687296613,158.011458333,5.52511111111,24
587726014552670332,227.094375,1.31430555556,36
588297864193245311,176.440583333,47.1746944444,34
587742014344790022,153.400833333,19.6816944444,35
587738947214442573,166.632583333,38.5030277778,23
587733412590518367,203.634958333,54.6405833333,20
587739457222606959,214.3675,27.9958055556,25
587729160054571224,227.773458333,4.50197222222,27
587741828584046825,166.63575,23.3243055556,30
587736542019846392,218.841375,7.96366666667,32
588018055665287428,251.478333333,27.3019166667,42
588017724943499395,199.153583333,7.01519444444,32
588017627222310917,163.219125,43.4283888889,39
587735489212711081,226.713166667,40.7431666667,29
587722982812942488,178.052791667,-0.235388888889,18
587736619861016782,239.279041667,28.6263055556,25
